source_id,title,authors,journal,year,doi,pmid,trial,study_type,prespecified_or_posthoc,population,intervention,comparator,primary_endpoint,key_result,limitations,evidence_level,used_for_claims
AMPLITUDEO-SGLT2-2022,"Efpeglenatide and Clinical Outcomes With and Without Concomitant SGLT2 Inhibition Use in Type 2 Diabetes: Exploratory Analysis of AMPLITUDE-O","Lam CSP; Ramasundarahettige C; Branch KRH; et al.",Circulation,2022,10.1161/CIRCULATIONAHA.121.057934,34775781,AMPLITUDE-O,RCT exploratory baseline-use subgroup,Exploratory,"T2D with CV or kidney disease; 618 baseline SGLT2i users","Efpeglenatide","Placebo","MACE and renal composite by baseline SGLT2i use","Renal-composite HR 0.70 (0.59-0.83) without and 0.52 (0.33-0.83) with baseline SGLT2i; all interaction P values >0.2","Different GLP-1RA; background SGLT2i not factorially randomized; short follow-up and subgroup interpretation; not semaglutide-specific additivity",Suggestive class-adjacent subgroup evidence,"06;07;12"
EXSCEL-EGFR-2020,"Effect of once-weekly exenatide on eGFR slope depends on baseline renal risk: post hoc EXSCEL analysis","van der Aart-van der Beek AB; et al.","Diabetes Obes Metab",2020,10.1111/dom.14175,32803900,EXSCEL,RCT post hoc analysis,Post hoc,"T2D CVOT participants with eGFR/UACR data subsets","Exenatide once weekly","Placebo","eGFR slope and UACR by baseline albuminuria","eGFR-slope difference +0.79 (0.24-1.34) for UACR>100 and +1.32 (0.57-2.06) for UACR>200; no benefit at lower thresholds; UACR reductions in elevated-UACR strata","Post hoc incomplete-data subsets and surrogate outcomes; not a dedicated kidney-failure trial",Hypothesis-generating molecule-specific evidence,"06;12;15"
ELIXA-RENAL-2018,"Lixisenatide and renal outcomes in patients with type 2 diabetes and acute coronary syndrome: exploratory ELIXA analysis","Muskiet MHA; Tonneijck L; Huang Y; et al.","Lancet Diabetes Endocrinol",2018,10.1016/S2213-8587(18)30268-7,30292589,ELIXA,RCT exploratory secondary analysis,Exploratory,"T2D after recent acute coronary syndrome; N=6068","Lixisenatide","Placebo","UACR/eGFR; new macroalbuminuria; doubling creatinine","Albuminuria signal concentrated in macroalbuminuria; no significant eGFR decline difference; doubling-creatinine HR 1.163 (0.741-1.825)","Exploratory and albuminuria-dominant; adjusted new-macroalbuminuria estimates borderline; no hard-kidney efficacy",Hypothesis-generating molecule-specific evidence,"06;12;15"
SURPASS4-KIDNEY-2022,"Effects of tirzepatide versus insulin glargine on kidney outcomes in type 2 diabetes in SURPASS-4","Heerspink HJL; Sattar N; Pavo I; et al.","Lancet Diabetes Endocrinol",2022,10.1016/S2213-8587(22)00243-1,36152639,SURPASS-4,"Open-label RCT post hoc analysis",Post hoc,"T2D at high CV risk; mean eGFR 81.3; median UACR 15; N=2002","Tirzepatide (dual GIP/GLP-1 agonist)","Insulin glargine","eGFR slope, UACR, kidney composite including new macroalbuminuria","Post hoc kidney-composite HR 0.58 (0.43-0.80); eGFR-slope difference +2.2 (1.6-2.8) mL/min/1.73m2/year","Not a conventional single GLP-1RA; active open-label comparator; low baseline kidney risk; composite includes new macroalbuminuria; not a dedicated CKD hard-outcome trial",Hypothesis-generating molecule-specific evidence,"06;12;15"
SEMA-CANA-EARLYDKD-2026,"Short-term comparative effects of semaglutide alone or with canagliflozin on early diabetic kidney disease","authors not independently expanded","Pak J Pharm Sci",2026,10.36721/PJPS.2026.39.7.204.1,42170981,n/a,"Small four-arm randomized surrogate trial",Prespecified,"Early DKD; N=120 (30 per arm)","Canagliflozin; semaglutide; combination","Control","UACR and eGFR at 24 weeks","Abstract reports greater UACR reduction with combination versus monotherapy/control but no significant between-group eGFR difference; exact UACR estimate not reported in abstract","Very small and short; abstract-only; surrogate outcomes; reporting/methodological quality not comprehensively appraised; no hard outcomes",Low-to-moderate (direct randomized surrogate only),"07;12"
GLP1-SGLT2-BMJ-2024,"Effect of combination treatment with GLP-1 receptor agonists and SGLT2 inhibitors on cardiovascular and serious renal events: population based cohort study","Simms-Williams N; et al.",BMJ,2024,10.1136/bmj-2023-078242,38663919,n/a,"Population-based prevalent-new-user target-trial-emulation cohort",Observational,"UK adults with T2D adding one class to the other","GLP-1RA plus SGLT2i","Either class alone","MACE and serious renal events","Versus SGLT2i alone: serious renal events 10 vs 26; HR 0.67 (0.32-1.41) over median 8.5 months; GLP-1RA exposure mixed molecules including semaglutide","Residual/unmeasured confounding; short follow-up; only 36 serious renal events; class mixing; CI compatible with benefit/null/harm; cannot prove additivity",Suggestive observational class-level evidence,"07;12"
GLP1-ADDON-SGLT2-2026,"Kidney outcomes with GLP-1 receptor agonists in people with T2D already receiving SGLT2 inhibitors: target trial emulation","authors not independently expanded","Lancet Prim Care",2026,10.1016/j.lanprc.2026.100139,42109572,n/a,"Active-comparator new-user target-trial emulation",Observational,"UK primary-care T2D population already receiving SGLT2i; 33659 eligible treatment initiations among 31650 unique people","Add GLP-1RA","Add DPP-4 inhibitor or sulfonylurea","Kidney disease progression","Kidney-disease-progression HR 0.73 (0.58-0.92) for GLP-1RA addition versus active comparator","Nonrandomized; class-level rather than semaglutide-specific; residual confounding and treatment-selection bias remain",Suggestive observational evidence,"07;12"
FIDELITY-GLP1-2023,"Finerenone in patients across the spectrum of CKD and T2D by GLP-1RA use","Rossing P; et al.","Diabetes Obes Metab",2023,10.1111/dom.14883,36193847,FIDELITY,"Exploratory subgroup of pooled randomized trials",Exploratory,"FIDELITY N=13026; 944 baseline GLP-1RA users","Finerenone","Placebo","Kidney/CV outcomes by baseline/concomitant GLP-1RA use","Finerenone effects were directionally consistent by GLP-1RA background; exact GLP-1RA dose/type effects could not be assessed","GLP-1RA use not randomized; small event counts/wide CIs; reverse causal question; cannot prove semaglutide-plus-finerenone additivity",Suggestive indirect subgroup evidence,"08;12"
FIDELITY-TRIPLE-2026,"A FIDELITY Analysis on Finerenone With SGLT2i and GLP-1RA in CKD","Singh AK; et al.","Kidney Int Rep",2026,10.1016/j.ekir.2025.10.032,41630895,FIDELITY,"Exploratory concomitant-treatment subgroup",Exploratory,"FIDELITY N=12990; 167 used SGLT2i+GLP-1RA at baseline","Finerenone","Placebo","UACR, eGFR and BP trajectories; safety","Finerenone improved surrogate trajectories across concomitant-treatment strata; most frequent GLP-1RA/SGLT2i pair was liraglutide/empagliflozin","Only 167 triple-therapy baseline users; background drugs not randomized; surrogate analyses; not semaglutide-specific hard-outcome evidence",Hypothesis-generating indirect evidence,"08;12"
FINERENONE-TRIPLE-RWE-2025,"Real-World Effectiveness of Finerenone Added to SGLT2 Inhibitor and GLP-1RA Therapy in T2D and CKD","Nakhleh A; et al.","J Clin Med",2025,10.3390/jcm14228209,41303244,n/a,"Retrospective uncontrolled cohort",Observational,"T2D+CKD on SGLT2i plus liraglutide/dulaglutide/semaglutide; N=51","Add finerenone",No control,"UACR, eGFR and potassium at about 26 weeks","At median 27 weeks adjusted UACR change -51.3%; eGFR change -3.92 mL/min/1.73m2; potassium +0.34 mmol/L","No counterfactual; only 51 participants; GLP-1RA molecules pooled; surrogate/short-term; confounding and regression to mean; no hard-outcome inference",Low (real-world feasibility/surrogate only),"08;12"
RAPID-CKD-2026-REGISTRY,"Rapid and Simultaneous Initiation of Four Guideline-Directed CKD Therapies (RAPID-CKD)","study investigators",ClinicalTrials.gov,2026,n/a,n/a,"RAPID-CKD (NCT07547878)","Phase 4 open-label randomized pilot registry",Prospective,"T2D+CKD; planned N=64","Rapid simultaneous RASi+SGLT2i+finerenone+semaglutide","Usual slow sequential initiation","Six-month retention, UACR, eGFR and safety/feasibility outcomes","Registry status NOT_YET_RECRUITING at 2026-09-05; estimated start 2026-04-30; no results","Small feasibility/surrogate pilot, not powered for hard kidney outcomes; stale estimated start versus recruitment status must be preserved rather than reconciled by assumption",Unknown (ongoing/not yet recruiting),"08;12;13"
